Seq;Power W;BatBMS V;BatCHG V;GRID V;GRID A;BatPers %;BatCur A;CHG AH;DIS AH;Pv AH;Site AH
10372; 602;53.24;52.94;5.50;0.00;   75;11.85;  1.02;16.43;42.34;2825.28
10382; 592;54.99;52.95;5.50;0.00;   75;11.65;  1.02;16.62;42.38;2835.10
10392; 584;53.25;52.95;5.70;0.00;   75;11.47;  1.02;16.62;42.38;2835.10
10402; 582;53.25;52.95;5.80;0.00;   75;11.05;  1.02;16.62;42.38;2835.10
10412; 644;53.23;52.93;5.50;0.00;   74;12.90;  1.02;16.62;42.38;2835.10
10422; 616;53.23;52.93;5.50;0.00;   74;12.09;  1.02;16.62;42.38;2835.10
10432; 661;54.99;52.92;5.70;0.00;   74;12.81;  1.02;16.62;42.38;2835.10
10442; 630;53.22;52.92;5.80;0.00;   74;12.41;  1.02;16.82;42.42;2845.16
10452; 705;54.96;52.90;5.50;0.00;   74;13.96;  1.02;16.82;42.42;2845.16
10462; 707;53.19;52.89;5.80;0.00;   74;14.05;  1.02;16.82;42.42;2845.16
10472; 676;54.96;52.90;5.70;0.00;   74;12.84;  1.02;16.82;42.42;2845.16
10482; 679;54.96;52.89;5.70;0.00;   74;13.37;  1.02;16.82;42.42;2845.16
10492; 661;54.96;52.90;5.70;0.00;   74;13.07;  1.02;16.82;42.42;2845.16
